incwage,inctot,state,age,sex,race,marst,vetstat,hispan,empstat,labforce,ind,educ,randnum
42000,42010,Arizona,39,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8180,High school diploma or equivalent,.000010355463
56000,50000,New Hampshire,38,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7180,Some college but no degree,.000041171214
20000,20000,Texas,55,Female,White,Divorced,No service,Not Hispanic,At work,"Yes, in the labor force",8690,Bachelor's degree,.000062893363
14000,14000,California,38,Female,White,Never married/single,No service,Mexican,At work,"Yes, in the labor force",9070,High school diploma or equivalent,.000073653253
42000,48000,South Carolina,53,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8190,Master's degree,.000077374003
50000,58175,Texas,28,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9480,Bachelor's degree,.000096876109
90000,90001,Montana,48,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8390,Bachelor's degree,.00011146635
60000,60000,North Carolina,31,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8090,Professional school degree,.00011182213
33000,41120,Florida,46,Female,White,"Married, spouse present",No service,South American,At work,"Yes, in the labor force",4970,Master's degree,.00013274676
159000,170000,District of Columbia,62,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9170,Professional school degree,.00014671778
35000,35000,California,26,Male,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4990,High school diploma or equivalent,.00017337262
64000,66012,District of Columbia,50,Female,White,Divorced,No service,Puerto Rican,At work,"Yes, in the labor force",7270,Some college but no degree,.00017648822
22000,22002,Florida,52,Female,White,"Married, spouse present",No service,Cuban,At work,"Yes, in the labor force",7280,"Associate's degree, occupational/vocational program",.00019117328
40000,40500,Vermont,46,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.00021132054
30000,38220,South Dakota,37,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8190,"Associate's degree, academic program",.00022976719
27040,32440,California,32,Female,Hawaiian/Pacific Islander only,Never married/single,No service,Mexican,At work,"Yes, in the labor force",9590,Some college but no degree,.00024244432
75000,75001,New Mexico,35,Male,White,Widowed,No service,Other Hispanic,At work,"Yes, in the labor force",770,High school diploma or equivalent,.00024420439
200000,211001,California,59,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6970,Bachelor's degree,.00025957235
5000,5000,New Jersey,44,Female,White,Separated,No service,Dominican,At work,"Yes, in the labor force",8270,High school diploma or equivalent,.00029812445
73000,73057,Utah,47,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7860,Master's degree,.0003123091
167000,167000,North Dakota,32,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",370,Some college but no degree,.0003431254
169000,180757,Wisconsin,49,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",5070,Professional school degree,.00035075171
30000,30741,North Carolina,46,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",7370,Bachelor's degree,.00035089525
110000,110125,Ohio,29,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",3580,Master's degree,.00035102942
50000,50000,Florida,26,Female,Black/Negro,Never married/single,No service,Puerto Rican,At work,"Yes, in the labor force",8190,Bachelor's degree,.00037491563
73000,78155,New Jersey,39,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",8680,Bachelor's degree,.00037578191
5000,5000,Ohio,37,Male,White,Never married/single,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",7490,High school diploma or equivalent,.000377969
3000,22200,Indiana,32,Male,White,Never married/single,Yes,Not Hispanic,"NILF, unable to work","No, not in the labor force",0,Bachelor's degree,.00037847186
25920,33245,Maryland,60,Male,White,"Married, spouse present",No service,Not Hispanic,"NILF, other","No, not in the labor force",0,Some college but no degree,.00038034259
45000,45000,Alabama,19,Female,Asian only,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7870,Some college but no degree,.00039678413
24099,24121,Virginia,21,Male,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",2190,High school diploma or equivalent,.00041008127
6000,26000,West Virginia,20,Female,White,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",7870,Some college but no degree,.00041361645
20000,20000,Delaware,22,Male,White,Never married/single,No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",3790,High school diploma or equivalent,.00041974054
17600,19855,South Carolina,39,Female,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",8180,"Associate's degree, academic program",.00042696969
31000,31000,Delaware,52,Male,White,"Married, spouse present",No service,Mexican,At work,"Yes, in the labor force",180,Grades 5 or 6,.00043557319
2400,80405,Iowa,52,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",170,"Associate's degree, occupational/vocational program",.00044912746
38000,41516,South Carolina,41,Male,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4470,High school diploma or equivalent,.00050500891
22000,22000,North Carolina,37,Female,Black/Negro,Never married/single,No service,Not Hispanic,At work,"Yes, in the labor force",4795,"12th grade, no diploma",.00051782344
47000,47201,Louisiana,43,Male,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9470,Bachelor's degree,.00052833604
35942,36442,Montana,31,Female,White,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",9480,Bachelor's degree,.00053641252
48000,48001,Maryland,43,Male,Black/Negro,"Married, spouse present",No service,Not Hispanic,At work,"Yes, in the labor force",6370,Bachelor's degree,.00060289731
14000,14361,Iowa,30,Female,Black/Negro,Never married/single,No service,Not Hispanic,"Unemployed, experienced worker","Yes, in the labor force",3990,High school diploma or equivalent,.00061313051
40000,40000,Maryland,31,Male,White,"Married, spouse present",No service,"Central American, (excluding Salvadoran)",At work,"Yes, in the labor force",4580,Grade 9,.00062135101
